zipcode,median_age_total,median_age_male,median_age_female,total_population,white_alone,black_or_african_american_alone,american_indian_and_alaska_native_alone,asian_alone,native_hawaiian_and_other_pacific_islander_alone,some_other_race_alone,two_or_more_races,two_or_more_races_two_races_including_some_other_race,"two_or_more_races_two_races_excluding_some_other_race,_and_three_or_more_races",total_population_25_years_and_over,no_schooling_completed_25_years_and_over,nursery_school_25_years_and_over,kindergarten_25_years_and_over,1st_grade_25_years_and_over,2nd_grade_25_years_and_over,3rd_grade_25_years_and_over,4th_grade_25_years_and_over,5th_grade_25_years_and_over,6th_grade_25_years_and_over,7th_grade_25_years_and_over,8th_grade_25_years_and_over,9th_grade_25_years_and_over,10th_grade_25_years_and_over,11th_grade_25_years_and_over,"12th_grade,_no_diploma_25_years_and_over",regular_high_school_diploma_25_years_and_over,ged_or_alternative_credential_25_years_and_over,"some_college,_less_than_1_year_25_years_and_over","some_college,_1_or_more_years,_no_degree_25_years_and_over",associates_degree_25_years_and_over,bachelors_degree_25_years_and_over,masters_degree_25_years_and_over,professional_school_degree_25_years_and_over,doctorate_degree_25_years_and_over,total_population_16_years_and_over,in_labor_force_16_years_and_over,in_labor_force_civilian_labor_force_16_years_and_over,in_labor_force_civilian_labor_force_employed_16_years_and_over,in_labor_force_civilian_labor_force_unemployed_16_years_and_over,in_labor_force_armed_forces_16_years_and_over,not_in_labor_force_16_years_and_over,median_household_income
98109,33.9,34.1,33.4,22401,17965,743,98,2193,50,275,1077,206,871,18532,89,0,0,0,0,0,15,0,32,5,17,24,19,62,158,868,297,496,2449,1188,7714,3359,1203,537,20807,16949,16821,16173,648,128,3858,3845.0
98112,39.7,39.5,39.9,22290,18522,1085,29,1372,0,145,1137,31,1106,17094,60,0,1,0,0,0,1,0,4,4,27,65,61,30,19,806,175,418,1644,849,6263,3893,1734,1040,18736,13379,13379,12494,885,0,5357,7476.0
98115,37.8,37.2,38.5,48558,40080,836,110,4611,93,646,2182,75,2107,35723,42,0,0,0,7,11,9,0,22,27,39,32,46,94,94,2354,380,1063,4024,2041,13625,6999,2183,2631,40186,29788,29749,28193,1556,39,10398,3219.0
98116,42.1,42.2,42.1,23780,20322,539,163,1395,39,264,1058,0,1058,18410,85,0,13,0,56,0,0,0,15,58,12,49,93,107,69,1647,185,889,2551,1945,6936,2467,833,400,19793,13880,13779,13170,609,101,5913,5900.0
98117,39.9,39.3,40.6,31778,28272,172,41,1466,17,390,1420,57,1363,23737,21,0,8,0,0,0,0,0,34,13,74,33,83,145,278,1928,316,852,2711,1830,9162,4347,1204,698,26050,20112,20097,19144,953,15,5938,3338.0
98118,37.7,37.0,38.8,44440,15095,11529,333,14275,308,688,2212,27,2185,30673,1385,16,56,0,104,411,60,183,825,265,401,660,525,806,912,4921,864,1491,4135,1940,6477,2801,860,575,35374,23437,23425,20861,2564,12,11937,2408.0
98119,32.5,32.7,32.5,23506,19447,651,140,1701,0,212,1355,19,1336,16764,123,0,0,0,0,0,0,0,0,0,23,3,44,114,49,818,291,652,1686,916,6812,3374,1304,555,20982,16219,15941,15132,809,278,4763,3740.0
98122,31.4,31.7,31.3,34054,22009,4776,273,3438,65,855,2638,89,2549,24237,182,0,24,0,30,65,41,119,61,53,40,278,143,229,176,1661,497,881,3078,1859,8841,3651,1327,1001,30379,23066,23026,21521,1505,40,7313,5142.0
98125,37.8,37.3,38.6,37560,24703,2625,306,6668,380,1193,1685,71,1614,27619,441,0,4,0,6,78,0,0,84,30,89,160,300,212,615,3325,648,1600,3739,2320,8454,3806,763,945,31703,22009,21983,20532,1451,26,9694,3109.0
98126,38.2,38.4,38.0,21648,14906,2760,224,1930,28,431,1369,53,1316,16006,336,0,0,0,60,47,12,56,4,22,124,20,200,318,147,2198,416,813,2443,1345,5003,1808,388,246,17322,12279,12248,11557,691,31,5043,4115.0
98133,38.7,36.2,42.0,46227,31078,3639,746,6648,485,1026,2605,250,2355,34670,332,18,0,42,19,120,99,63,280,68,298,296,353,385,478,5510,1020,2157,5713,3221,9528,3536,573,561,40129,26833,26781,24327,2454,52,13296,2589.0
98136,42.8,42.0,43.8,15302,13057,398,107,810,0,153,777,15,762,11937,0,0,0,0,0,0,0,0,0,26,49,0,97,61,140,1414,142,769,1657,1072,4180,1457,599,274,12776,9382,9319,8850,469,63,3394,10356.0
98144,39.4,38.5,40.2,27496,13351,4377,341,6456,85,480,2406,68,2338,20865,399,0,5,45,82,60,32,68,583,30,272,301,365,120,485,3032,227,749,2654,1207,6209,2389,1083,468,23277,16430,16403,15306,1097,27,6847,6155.0
98146,38.8,36.8,40.2,25722,15918,1545,566,3558,1039,1670,1426,246,1180,17599,408,0,9,0,35,135,106,132,410,84,207,266,189,399,596,3651,738,1422,2945,1504,2920,1039,307,97,20287,13806,13806,12526,1280,0,6481,4196.0
98148,34.2,31.2,38.4,10207,6836,1187,104,672,0,591,817,28,789,6754,135,27,0,45,44,8,18,0,273,70,88,56,87,190,182,1626,309,539,1250,574,928,232,23,50,8246,5701,5689,5191,498,12,2545,4314.0
98155,41.5,39.4,43.6,33850,24810,1651,425,4014,133,943,1874,227,1647,24819,343,2,10,3,2,28,68,35,88,30,120,179,148,383,614,3105,516,1625,4136,2222,6773,2918,845,626,27827,18931,18914,17065,1849,17,8896,3919.0
98166,43.4,42.0,45.1,21187,17164,488,521,1161,56,465,1332,116,1216,15229,90,0,0,0,26,58,29,67,151,9,38,194,123,240,244,2545,509,1145,2744,1179,3646,1616,324,252,16988,11288,11288,10555,733,0,5700,3519.0
98168,35.2,34.9,35.4,33604,17468,4432,259,5638,1249,1983,2575,273,2302,22101,1082,0,0,65,38,45,94,79,451,29,426,505,351,646,450,6118,1145,1416,3186,2092,2714,821,267,81,26024,17585,17474,15516,1958,111,8439,3463.0
98177,47.1,45.4,48.1,18867,16222,240,64,1596,22,107,616,48,568,14040,54,0,0,0,3,12,10,0,32,6,21,36,202,133,97,1257,197,681,1616,980,5221,2075,897,510,15929,9879,9876,9403,473,3,6050,8119.0
98178,39.4,39.2,39.5,23866,7125,6297,193,7848,269,568,1566,181,1385,16518,566,21,0,0,8,0,0,163,197,131,234,291,351,380,492,3182,785,1273,2582,1303,3229,837,370,123,18958,12659,12599,11630,969,60,6299,7402.0
98188,34.5,35.0,34.1,24373,11515,5648,333,4056,600,590,1631,111,1520,16429,667,0,0,65,17,61,71,11,214,84,139,203,305,181,418,4758,720,960,2906,1341,2368,761,90,89,19609,13031,13017,11789,1228,14,6578,3702.0
98198,36.2,34.0,39.7,35748,21712,4193,306,4461,527,2029,2520,295,2225,25010,642,0,0,108,87,145,76,4,338,128,207,747,429,490,837,5266,1145,2052,4219,2435,3947,1289,271,148,28857,18211,18159,16483,1676,52,10646,3232.0
98199,40.1,39.9,40.3,20548,17566,593,141,1285,21,139,803,116,687,15328,30,0,0,0,0,0,0,0,0,0,2,33,24,130,200,844,138,577,1769,1132,6201,2507,1022,719,16756,12020,11969,11384,585,51,4736,8741.0
